PER 1 TOLA
1	FINE GOLD (9999): 54700	STANDARD GOLD (9950): 00000	Silver: 755
2	FINE GOLD (9999): 54500	STANDARD GOLD (9950): 0000	Silver: 750
4	FINE GOLD (9999): 54500	STANDARD GOLD (9950): 0000	Silver: 750
5	FINE GOLD (9999): 54400	STANDARD GOLD (9950): 00000	Silver: 745
6	FINE GOLD (9999): 54100	STANDARD GOLD (9950): 0000	Silver: 740
7	FINE GOLD (9999): 54200	STANDARD GOLD (9950): 0000	Silver: 740
8	FINE GOLD (9999): 54400	STANDARD GOLD (9950): 0000	Silver: 740
9	FINE GOLD (9999): 54400	STANDARD GOLD (9950): 00000	Silver: 740
11	FINE GOLD (9999): 54500	STANDARD GOLD (9950): 0000	Silver: 745
12	FINE GOLD (9999): 54500	STANDARD GOLD (9950): 0000	Silver: 745
13	FINE GOLD (9999): 54100	STANDARD GOLD (9950): 0000	Silver: 740
14	FINE GOLD (9999): 54400	STANDARD GOLD (9950): 0000	Silver: 750
15	FINE GOLD (9999): 54300	STANDARD GOLD (9950): 00000	Silver: 750
16	FINE GOLD (9999): 54300	STANDARD GOLD (9950): 00000	Silver: 745
18	FINE GOLD (9999): 54100	STANDARD GOLD (9950): 00000	Silver: 745
19	FINE GOLD (9999): 54000	STANDARD GOLD (9950): 0000	Silver: 745
20	FINE GOLD (9999): 53500	STANDARD GOLD (9950): 0000	Silver: 730
21	FINE GOLD (9999): 53600	STANDARD GOLD (9950): 0000	Silver: 730
22	FINE GOLD (9999): 53600	STANDARD GOLD (9950): 0000	Silver: 730
23	FINE GOLD (9999): 53500	STANDARD GOLD (9950): 0000	Silver: 730
25	FINE GOLD (9999): 53000	STANDARD GOLD (9950): 0000	Silver: 710
26	FINE GOLD (9999): 52800	STANDARD GOLD (9950): 0000	Silver: 705
27	FINE GOLD (9999): 52800	STANDARD GOLD (9950): 00000	Silver: 705
28	FINE GOLD (9999): 53200	STANDARD GOLD (9950): 0000	Silver: 715
29	FINE GOLD (9999): 53300	STANDARD GOLD (9950):	Silver: 715
30	FINE GOLD (9999): 53000	STANDARD GOLD (9950):	Silver: 710
