PER 1 TOLA
2	FINE GOLD (9999): 58600	STANDARD GOLD (9950): 58300	Silver: 750
3	FINE GOLD (9999): 58800	STANDARD GOLD (9950): 58500	Silver: 755
4	FINE GOLD (9999): 58800	STANDARD GOLD (9950): 58500	Silver: 755
5	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 760
6	FINE GOLD (9999): 59300	STANDARD GOLD (9950): 59000	Silver: 780
7	FINE GOLD (9999): 59200	STANDARD GOLD (9950): 58900	Silver: 780
9	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 780
10	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 780
11	FINE GOLD (9999): 58800	STANDARD GOLD (9950): 58500	Silver: 765
12	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 765
13	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 765
14	FINE GOLD (9999): 58700	STANDARD GOLD (9950): 58400	Silver: 760
16	FINE GOLD (9999): 58900	STANDARD GOLD (9950): 58600	Silver: 760
18	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 750
19	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 755
20	FINE GOLD (9999): 58300	STANDARD GOLD (9950): 58000	Silver: 755
21	FINE GOLD (9999): 58500	STANDARD GOLD (9950): 58200	Silver: 755
23	FINE GOLD (9999): 58700	STANDARD GOLD (9950): 58400	Silver: 760
24	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 765
25	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 765
26	FINE GOLD (9999): 59000	STANDARD GOLD (9950): 58700	Silver: 765
27	FINE GOLD (9999): 59100	STANDARD GOLD (9950): 58800	Silver: 770
28	FINE GOLD (9999): 59200	STANDARD GOLD (9950): 58900	Silver: 775
30	FINE GOLD (9999): 59300	STANDARD GOLD (9950): 59000	Silver: 775
31	FINE GOLD (9999): 59200	STANDARD GOLD (9950): 58900	Silver: 775
