PER 1 TOLA
1	FINE GOLD (9999): 71800	STANDARD GOLD (9950): 71500	Silver: 855
2	FINE GOLD (9999): 71600	STANDARD GOLD (9950): 71300	Silver: 850
3	FINE GOLD (9999): 72000	STANDARD GOLD (9950): 71700	Silver: 860
4	FINE GOLD (9999): 72100	STANDARD GOLD (9950): 71800	Silver: 865
5	FINE GOLD (9999): 72000	STANDARD GOLD (9950): 71700	Silver: 860
6	FINE GOLD (9999): 71700	STANDARD GOLD (9950): 71400	Silver: 860
8	FINE GOLD (9999): 71600	STANDARD GOLD (9950): 71300	Silver: 855
9	FINE GOLD (9999): 71600	STANDARD GOLD (9950): 71300	Silver: 855
10	FINE GOLD (9999): 71200	STANDARD GOLD (9950): 70900	Silver: 850
11	FINE GOLD (9999): 71200	STANDARD GOLD (9950): 70900	Silver: 855
12	FINE GOLD (9999): 71000	STANDARD GOLD (9950): 70700	Silver: 850
13	FINE GOLD (9999): 71300	STANDARD GOLD (9950): 71000	Silver: 855
15	FINE GOLD (9999): 71600	STANDARD GOLD (9950): 71300	Silver: 855
16	FINE GOLD (9999): 71400	STANDARD GOLD (9950): 71100	Silver: 850
17	FINE GOLD (9999): 71400	STANDARD GOLD (9950): 71100	Silver: 850
18	FINE GOLD (9999): 72200	STANDARD GOLD (9950): 71900	Silver: 865
19	FINE GOLD (9999): 72000	STANDARD GOLD (9950): 71700	Silver: 850
20	FINE GOLD (9999): 71700	STANDARD GOLD (9950): 71400	Silver: 850
22	FINE GOLD (9999): 71200	STANDARD GOLD (9950): 70900	Silver: 840
23	FINE GOLD (9999): 71000	STANDARD GOLD (9950): 70700	Silver: 835
24	FINE GOLD (9999): 70800	STANDARD GOLD (9950): 70500	Silver: 830
25	FINE GOLD (9999): 70800	STANDARD GOLD (9950): 70500	Silver: 830
26	FINE GOLD (9999): 71200	STANDARD GOLD (9950): 70900	Silver: 840
27	FINE GOLD (9999): 70800	STANDARD GOLD (9950): 70500	Silver: 840
29	FINE GOLD (9999): 71300	STANDARD GOLD (9950): 71000	Silver: 845
30	FINE GOLD (9999): 71300	STANDARD GOLD (9950): 71000	Silver: 845
