PER 1 TOLA
1	FINE GOLD (9999): 64500	STANDARD GOLD (9950): 64200	Silver: 745
2	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 765
3	FINE GOLD (9999): 65500	STANDARD GOLD (9950): 65200	Silver: 770
5	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 765
6	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 765
7	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 765
8	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 775
9	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 775
10	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 775
12	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 775
13	FINE GOLD (9999): 65200	STANDARD GOLD (9950): 64900	Silver: 775
14	FINE GOLD (9999): 65200	STANDARD GOLD (9950): 64900	Silver: 775
15	FINE GOLD (9999): 65400	STANDARD GOLD (9950): 65100	Silver: 780
16	FINE GOLD (9999): 65000	STANDARD GOLD (9950): 64700	Silver: 770
17	FINE GOLD (9999): 65800	STANDARD GOLD (9950): 65500	Silver: 770
19	FINE GOLD (9999): 66300	STANDARD GOLD (9950): 66000	Silver: 775
20	FINE GOLD (9999): 67800	STANDARD GOLD (9950): 67500	Silver: 795
21	FINE GOLD (9999): 68000	STANDARD GOLD (9950): 67700	Silver: 795
22	FINE GOLD (9999): 69500	STANDARD GOLD (9950): 69200	Silver: 810
23	FINE GOLD (9999): 70000	STANDARD GOLD (9950): 69700	Silver: 825
24	FINE GOLD (9999): 70000	STANDARD GOLD (9950): 69700	Silver: 825
26	FINE GOLD (9999): 70000	STANDARD GOLD (9950): 69700	Silver: 825
27	FINE GOLD (9999): 70000	STANDARD GOLD (9950): 69700	Silver: 825
28	FINE GOLD (9999): 71000	STANDARD GOLD (9950): 70700	Silver: 835
29	FINE GOLD (9999): 70300	STANDARD GOLD (9950): 70000	Silver: 820
30	FINE GOLD (9999): 71500	STANDARD GOLD (9950): 71200	Silver: 840
31	FINE GOLD (9999): 71500	STANDARD GOLD (9950): 71200	Silver: 840
