PER 1 TOLA
1	FINE GOLD (9999): 57000	STANDARD GOLD (9950): 56700	Silver: 740
2	FINE GOLD (9999): 57400	STANDARD GOLD (9950): 57100	Silver: 740
3	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 750
4	FINE GOLD (9999): 58000	STANDARD GOLD (9950): 57700	Silver: 750
6	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 740
7	FINE GOLD (9999): 58000	STANDARD GOLD (9950): 57700	Silver: 745
8	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 740
9	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 740
10	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 745
11	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 745
13	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 745
14	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 750
15	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 750
16	FINE GOLD (9999): 57400	STANDARD GOLD (9950): 57100	Silver: 740
18	FINE GOLD (9999): 57500	STANDARD GOLD (9950): 57200	Silver: 745
20	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 745
21	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 745
22	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 740
23	FINE GOLD (9999): 58000	STANDARD GOLD (9950): 57700	Silver: 750
24	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 745
25	FINE GOLD (9999): 57400	STANDARD GOLD (9950): 57100	Silver: 740
27	FINE GOLD (9999): 57700	STANDARD GOLD (9950): 57400	Silver: 750
28	FINE GOLD (9999): 57600	STANDARD GOLD (9950): 57300	Silver: 745
29	FINE GOLD (9999): 57500	STANDARD GOLD (9950): 57200	Silver: 745
30	FINE GOLD (9999): 57800	STANDARD GOLD (9950): 57500	Silver: 750
