PER 1 TOLA
1	FINE GOLD (9999): 53300	STANDARD GOLD (9950): 0000	Silver: 740
2	FINE GOLD (9999): 53500	STANDARD GOLD (9950): 0000	Silver: 745
3	FINE GOLD (9999): 53700	STANDARD GOLD (9950): 0000	Silver: 750
4	FINE GOLD (9999): 54700	STANDARD GOLD (9950): 0000	Silver: 755
5	FINE GOLD (9999): 54500	STANDARD GOLD (9950): 0000	Silver: 750
7	FINE GOLD (9999): 54600	STANDARD GOLD (9950): 0000	Silver: 755
8	FINE GOLD (9999): 54500	STANDARD GOLD (9950): 0000	Silver: 755
9	FINE GOLD (9999): 55000	STANDARD GOLD (9950): 0000	Silver: 770
10	FINE GOLD (9999): 54700	STANDARD GOLD (9950): 0000	Silver: 765
11	FINE GOLD (9999): 54700	STANDARD GOLD (9950): 0000	Silver: 770
12	FINE GOLD (9999): 54700	STANDARD GOLD (9950): 0000	Silver: 770
14	FINE GOLD (9999): 54800	STANDARD GOLD (9950): 0000	Silver: 770
15	FINE GOLD (9999): 54800	STANDARD GOLD (9950): 0000	Silver: 770
16	FINE GOLD (9999): 55000	STANDARD GOLD (9950): 0000	Silver: 775
17	FINE GOLD (9999): 54700	STANDARD GOLD (9950): 0000	Silver: 770
18	FINE GOLD (9999): 54900	STANDARD GOLD (9950): 0000	Silver: 770
19	FINE GOLD (9999): 54600	STANDARD GOLD (9950): 0000	Silver: 765
21	FINE GOLD (9999): 55200	STANDARD GOLD (9950): 0000	Silver: 775
22	FINE GOLD (9999): 55200	STANDARD GOLD (9950): 0000	Silver: 775
23	FINE GOLD (9999): 55300	STANDARD GOLD (9950): 00000	Silver: 780
24	FINE GOLD (9999): 55600	STANDARD GOLD (9950): 0000	Silver: 780
25	FINE GOLD (9999): 55400	STANDARD GOLD (9950): 0000	Silver: 775
26	FINE GOLD (9999): 55000	STANDARD GOLD (9950): 0000	Silver: 770
28	FINE GOLD (9999): 54800	STANDARD GOLD (9950): 0000	Silver: 765
29	FINE GOLD (9999): 54800	STANDARD GOLD (9950): 0000	Silver: 760
30	FINE GOLD (9999): 54800	STANDARD GOLD (9950): 0000	Silver: 755
31	FINE GOLD (9999): 54800	STANDARD GOLD (9950): 0000	Silver: 755
