PER 1 TOLA
1	FINE GOLD (9999): 56300	STANDARD GOLD (9950): 56000	Silver: 770
5	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 765
6	FINE GOLD (9999): 55800	STANDARD GOLD (9950): 55500	Silver: 765
7	FINE GOLD (9999): 55900	STANDARD GOLD (9950): 55600	Silver: 765
8	FINE GOLD (9999): 55700	STANDARD GOLD (9950): 55400	Silver: 760
9	FINE GOLD (9999): 55700	STANDARD GOLD (9950): 55400	Silver: 760
10	FINE GOLD (9999): 55500	STANDARD GOLD (9950): 55200	Silver: 755
12	FINE GOLD (9999): 55700	STANDARD GOLD (9950): 55400	Silver: 760
13	FINE GOLD (9999): 55500	STANDARD GOLD (9950): 55200	Silver: 755
14	FINE GOLD (9999): 55500	STANDARD GOLD (9950): 55200	Silver: 755
15	FINE GOLD (9999): 55200	STANDARD GOLD (9950): 54900	Silver: 750
16	FINE GOLD (9999): 55500	STANDARD GOLD (9950): 55200	Silver: 765
17	FINE GOLD (9999): 55400	STANDARD GOLD (9950): 55100	Silver: 765
19	FINE GOLD (9999): 55300	STANDARD GOLD (9950): 55000	Silver: 755
20	FINE GOLD (9999): 55300	STANDARD GOLD (9950): 55000	Silver: 755
21	FINE GOLD (9999): 55600	STANDARD GOLD (9950): 55300	Silver: 765
22	FINE GOLD (9999): 55900	STANDARD GOLD (9950): 55600	Silver: 765
23	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 765
24	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 765
26	FINE GOLD (9999): 55900	STANDARD GOLD (9950): 55600	Silver: 760
27	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 765
28	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 765
29	FINE GOLD (9999): 56200	STANDARD GOLD (9950): 55900	Silver: 770
30	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 765
