PER 1 TOLA
25	FINE GOLD (9999): 57900	STANDARD GOLD (9950): 57600	Silver: 740
1	FINE GOLD (9999): 60000	STANDARD GOLD (9950): 59700	Silver: 735
3	FINE GOLD (9999): 60000	STANDARD GOLD (9950): 59700	Silver: 735
4	FINE GOLD (9999): 59800	STANDARD GOLD (9950): 59500	Silver: 730
5	FINE GOLD (9999): 59700	STANDARD GOLD (9950): 59400	Silver: 730
7	FINE GOLD (9999): 60200	STANDARD GOLD (9950): 59900	Silver: 740
8	FINE GOLD (9999): 60000	STANDARD GOLD (9950): 59700	Silver: 740
10	FINE GOLD (9999): 60400	STANDARD GOLD (9950): 60100	Silver: 740
11	FINE GOLD (9999): 60600	STANDARD GOLD (9950): 60300	Silver: 740
12	FINE GOLD (9999): 60500	STANDARD GOLD (9950): 60200	Silver: 740
13	FINE GOLD (9999): 60400	STANDARD GOLD (9950): 60100	Silver: 740
14	FINE GOLD (9999): 60300	STANDARD GOLD (9950): 60000	Silver: 735
15	FINE GOLD (9999): 59700	STANDARD GOLD (9950): 59400	Silver: 730
17	FINE GOLD (9999): 59700	STANDARD GOLD (9950): 59400	Silver: 730
18	FINE GOLD (9999): 59700	STANDARD GOLD (9950): 59400	Silver: 730
19	FINE GOLD (9999): 59500	STANDARD GOLD (9950): 59200	Silver: 725
20	FINE GOLD (9999): 59500	STANDARD GOLD (9950): 59200	Silver: 725
21	FINE GOLD (9999): 59400	STANDARD GOLD (9950): 59100	Silver: 725
22	FINE GOLD (9999): 59500	STANDARD GOLD (9950): 59200	Silver: 725
24	FINE GOLD (9999): 59800	STANDARD GOLD (9950): 59500	Silver: 725
25	FINE GOLD (9999): 60000	STANDARD GOLD (9950): 59700	Silver: 730
26	FINE GOLD (9999): 60300	STANDARD GOLD (9950): 60000	Silver: 740
27	FINE GOLD (9999): 60100	STANDARD GOLD (9950): 59800	Silver: 730
28	FINE GOLD (9999): 60200	STANDARD GOLD (9950): 59900	Silver: 730
29	FINE GOLD (9999): 59600	STANDARD GOLD (9950): 59300	Silver: 720
