PER 1 TOLA
1	FINE GOLD (9999): 57000	STANDARD GOLD (9950): 56700	Silver: 750
2	FINE GOLD (9999): 56500	STANDARD GOLD (9950): 56200	Silver: 745
3	FINE GOLD (9999): 56500	STANDARD GOLD (9950): 56200	Silver: 745
4	FINE GOLD (9999): 56500	STANDARD GOLD (9950): 56200	Silver: 740
6	FINE GOLD (9999): 56800	STANDARD GOLD (9950): 56500	Silver: 740
7	FINE GOLD (9999): 56800	STANDARD GOLD (9950): 56500	Silver: 740
8	FINE GOLD (9999): 56600	STANDARD GOLD (9950): 56300	Silver: 735
9	FINE GOLD (9999): 56600	STANDARD GOLD (9950): 56300	Silver: 735
10	FINE GOLD (9999): 56700	STANDARD GOLD (9950): 56400	Silver: 740
11	FINE GOLD (9999): 56500	STANDARD GOLD (9950): 56200	Silver: 740
13	FINE GOLD (9999): 56500	STANDARD GOLD (9950): 56200	Silver: 740
14	FINE GOLD (9999): 56400	STANDARD GOLD (9950): 56100	Silver: 740
15	FINE GOLD (9999): 56300	STANDARD GOLD (9950): 56000	Silver: 735
16	FINE GOLD (9999): 56300	STANDARD GOLD (9950): 56000	Silver: 735
17	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 735
18	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 735
20	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 735
21	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 735
22	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 735
23	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 735
24	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 735
25	FINE GOLD (9999): 56200	STANDARD GOLD (9950): 55900	Silver: 735
27	FINE GOLD (9999): 56200	STANDARD GOLD (9950): 55900	Silver: 735
28	FINE GOLD (9999): 56400	STANDARD GOLD (9950): 56100	Silver: 740
29	FINE GOLD (9999): 56100	STANDARD GOLD (9950): 55800	Silver: 735
30	FINE GOLD (9999): 56000	STANDARD GOLD (9950): 55700	Silver: 730
31	FINE GOLD (9999): 55600	STANDARD GOLD (9950): 55300	Silver: 715
