PER 1 TOLA
1	FINE GOLD (9999): 98200	STANDARD GOLD (9950): 97700	Silver: 1315
2	FINE GOLD (9999): 100400	STANDARD GOLD (9950): 99900	Silver: 1380
3	FINE GOLD (9999): 100400	STANDARD GOLD (9950): 99900	Silver: 1375
4	FINE GOLD (9999): 98800	STANDARD GOLD (9950): 98300	Silver: 1360
5	FINE GOLD (9999): 98800	STANDARD GOLD (9950): 98300	Silver: 1370
7	FINE GOLD (9999): 98400	STANDARD GOLD (9950): 97900	Silver: 1345
8	FINE GOLD (9999): 97900	STANDARD GOLD (9950): 97400	Silver: 1320
9	FINE GOLD (9999): 97200	STANDARD GOLD (9950): 96700	Silver: 1320
10	FINE GOLD (9999): 96800	STANDARD GOLD (9950): 96300	Silver: 1310
11	FINE GOLD (9999): 97600	STANDARD GOLD (9950): 97100	Silver: 1345
12	FINE GOLD (9999): 96900	STANDARD GOLD (9950): 96400	Silver: 1340
14	FINE GOLD (9999): 97200	STANDARD GOLD (9950): 96700	Silver: 1340
15	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1365
16	FINE GOLD (9999): 98400	STANDARD GOLD (9950): 97900	Silver: 1395
17	FINE GOLD (9999): 97200	STANDARD GOLD (9950): 96700	Silver: 1365
18	FINE GOLD (9999): 96500	STANDARD GOLD (9950): 96000	Silver: 1345
19	FINE GOLD (9999): 96400	STANDARD GOLD (9950): 95900	Silver: 1310
21	FINE GOLD (9999): 96100	STANDARD GOLD (9950): 95600	Silver: 1320
22	FINE GOLD (9999): 96100	STANDARD GOLD (9950): 95600	Silver: 1320
23	FINE GOLD (9999): 95800	STANDARD GOLD (9950): 95300	Silver: 1310
24	FINE GOLD (9999): 96400	STANDARD GOLD (9950): 95900	Silver: 1315
25	FINE GOLD (9999): 96800	STANDARD GOLD (9950): 96300	Silver: 1325
26	FINE GOLD (9999): 96500	STANDARD GOLD (9950): 96000	Silver: 1310
28	FINE GOLD (9999): 96500	STANDARD GOLD (9950): 96000	Silver: 1310
29	FINE GOLD (9999): 96900	STANDARD GOLD (9950): 96400	Silver: 1320
30	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1340
31	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1340
