PER 1 TOLA
1	FINE GOLD (9999): 96500	STANDARD GOLD (9950): 96000	Silver: 1245
2	FINE GOLD (9999): 97300	STANDARD GOLD (9950): 96800	Silver: 1265
3	FINE GOLD (9999): 97800	STANDARD GOLD (9950): 97300	Silver: 1275
5	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1265
6	FINE GOLD (9999): 97700	STANDARD GOLD (9950): 97200	Silver: 1265
7	FINE GOLD (9999): 97700	STANDARD GOLD (9950): 97200	Silver: 1265
8	FINE GOLD (9999): 97300	STANDARD GOLD (9950): 96800	Silver: 1255
9	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1250
10	FINE GOLD (9999): 97200	STANDARD GOLD (9950): 96700	Silver: 1240
12	FINE GOLD (9999): 97300	STANDARD GOLD (9950): 96800	Silver: 1245
13	FINE GOLD (9999): 97700	STANDARD GOLD (9950): 97200	Silver: 1255
15	FINE GOLD (9999): 97800	STANDARD GOLD (9950): 97300	Silver: 1240
16	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1235
17	FINE GOLD (9999): 97200	STANDARD GOLD (9950): 96700	Silver: 1210
19	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1200
20	FINE GOLD (9999): 97500	STANDARD GOLD (9950): 97000	Silver: 1200
21	FINE GOLD (9999): 97600	STANDARD GOLD (9950): 97100	Silver: 1205
22	FINE GOLD (9999): 96000	STANDARD GOLD (9950): 95500	Silver: 1175
24	FINE GOLD (9999): 94600	STANDARD GOLD (9950): 94100	Silver: 1175
23	FINE GOLD (9999): 94600	STANDARD GOLD (9950): 94100	Silver: 1185
26	FINE GOLD (9999): 94800	STAND
